,IG_Date
0,2012-03-29
1,1998-08-29
2,1998-08-31
3,1998-02-09
4,1998-01-01
5,2016-04-24
6,2016-04-08
11,2016-05-03
22,2016-05-24
30,2016-02-01
36,2016-02-04
42,2016-04-09
45,2016-02-07
46,2016-02-20
54,2016-04-17
69,2016-03-23
85,2016-02-29
90,2016-04-01
107,2016-01-27
114,2016-01-29
115,2016-02-03
116,2016-02-11
117,2016-02-16
118,2016-02-25
141,2016-02-28
142,2016-03-01
150,2016-03-29
153,2016-04-05
154,2016-04-04
155,2016-04-02
193,2016-03-27
214,2016-03-24
218,2016-04-06
220,2016-05-04
223,2016-03-06
225,2016-04-07
232,2016-03-16
241,2016-07-31
269,2016-07-03
273,2016-07-22
280,2016-04-25
294,2016-06-07
296,2016-08-27
301,2016-07-28
309,2016-09-11
310,2016-09-17
313,2016-08-13
314,2016-08-17
315,2016-07-25
317,2016-05-15
318,2016-06-13
319,2016-10-21
320,2016-09-26
321,2016-06-28
322,2016-05-29
323,2016-10-16
327,2016-10-30
328,2016-09-02
329,2016-09-16
330,2016-07-26
332,2016-06-09
333,2016-06-29
334,2016-08-09
335,2016-08-02
336,2016-08-01
338,2016-06-21
339,2016-06-24
340,2016-06-25
341,2016-08-22
342,2016-08-21
345,2016-06-26
347,2016-08-06
349,2016-08-05
350,2016-08-10
351,2016-08-26
353,2016-07-17
354,2016-08-23
356,2016-06-01
357,2016-06-23
358,2016-08-16
361,2016-10-04
363,2016-11-02
364,2016-08-18
365,2016-07-20
366,2016-10-24
367,2016-07-18
368,2016-08-07
370,2016-05-01
372,2016-07-27
374,2016-08-15
377,2016-04-15
378,2016-09-29
379,2016-08-08
380,2016-07-21
384,2016-07-11
385,2016-09-18
386,2016-06-06
388,2016-10-01
390,2016-10-07
392,2016-07-23
394,2016-06-15
395,2016-06-30
399,2016-07-16
403,2016-08-30
405,2016-06-20
407,2016-09-10
409,2016-07-01
410,2016-07-09
412,2016-10-14
413,2016-08-03
419,2016-06-19
421,2016-09-25
422,2016-05-17
423,2016-10-11
424,2016-05-19
426,2016-07-30
427,2016-08-04
429,2016-06-08
431,2016-02-19
432,2016-06-04
433,2016-06-02
434,2016-07-02
438,2016-05-20
440,2016-07-19
444,2016-08-29
448,2016-06-18
451,2016-08-12
456,2016-10-10
457,2016-10-13
459,2016-09-08
460,2016-08-20
461,2016-03-04
467,2016-02-18
470,2016-09-12
471,2016-06-14
472,2016-09-04
